Q(A^-1),I(Q)
4.638902739999999948e-03,3.463495485299999928e+03
4.771445739999999672e-03,3.296397612100000060e+03
4.907775770000000030e-03,2.895546570100000281e+03
5.048001029999999757e-03,2.741873924999999872e+03
5.192232809999999983e-03,2.579622724800000015e+03
5.340585580000000408e-03,2.474340426399999615e+03
5.493177109999999690e-03,2.231654326899999887e+03
5.650128479999999738e-03,2.053214661499999693e+03
5.811564279999999715e-03,1.944625548299999991e+03
5.977612640000000248e-03,1.815978345100000070e+03
6.148405330000000432e-03,1.670071618899999976e+03
6.324077929999999750e-03,1.556291994200000090e+03
6.504769849999999728e-03,1.441734428799999932e+03
6.690624519999999707e-03,1.338017400199999884e+03
6.881789430000000152e-03,1.220888552000000118e+03
7.078416320000000157e-03,1.134612282599999844e+03
7.280661239999999812e-03,1.043051642399999992e+03
7.488684720000000385e-03,9.442309440000000222e+02
7.702651859999999628e-03,8.758020303300000933e+02
7.922732479999999855e-03,8.117917651199999227e+02
8.149101250000000476e-03,7.343346626300000253e+02
8.381937849999999968e-03,6.823225235700000439e+02
8.621427060000000711e-03,6.114859320600000956e+02
8.867758979999999444e-03,5.739308714900000723e+02
9.121129110000000817e-03,5.186063423399999692e+02
9.381738540000000154e-03,4.693134360700000229e+02
9.649794119999999253e-03,4.299937009900000362e+02
9.925508600000000625e-03,3.915757773399999451e+02
1.020910080000000074e-02,3.521689126599999895e+02
1.050079580000000054e-02,3.237183674900000483e+02
1.080082519999999921e-02,2.947276358799999798e+02
1.110942699999999984e-02,2.661332357299999671e+02
1.142684620000000012e-02,2.395614608900000064e+02
1.175333469999999964e-02,2.200873525099999881e+02
1.208915170000000004e-02,1.987595905000000016e+02
1.243456360000000024e-02,1.820743013200000178e+02
1.278984470000000054e-02,1.646968223199999954e+02
1.315527690000000034e-02,1.496551781100000085e+02
1.353115019999999967e-02,1.367114628400000242e+02
1.391776299999999966e-02,1.240174074600000012e+02
1.431542220000000046e-02,1.132609010500000011e+02
1.472444319999999945e-02,1.036641553700000031e+02
1.514515089999999946e-02,9.531425117000000569e+01
