Q(A^-1),I(Q)
4.175645370000000134e-02,3.349000363000000036e+00
4.294952159999999852e-02,3.036805935000000289e+00
4.417667780000000127e-02,2.797903636000000027e+00
4.543889639999999785e-02,2.518899999999999917e+00
4.673717919999999942e-02,2.311914668000000006e+00
4.807255660000000347e-02,2.116809562000000255e+00
4.944608849999999889e-02,1.946273353000000039e+00
5.085886509999999749e-02,1.794787360000000165e+00
5.231200750000000038e-02,1.643667394000000170e+00
5.380666919999999714e-02,1.523164474999999962e+00
5.534403649999999897e-02,1.420213329999999941e+00
5.692532959999999781e-02,1.314224760999999964e+00
5.855180339999999789e-02,1.216550580999999909e+00
6.022474900000000103e-02,1.137223831000000018e+00
6.194549399999999678e-02,1.069551729999999923e+00
6.371540430000000033e-02,9.990669480000000657e-01
6.553588450000000232e-02,9.483807400000000554e-01
6.740837959999999851e-02,8.859542410000000867e-01
6.933437580000000044e-02,8.414717750000000329e-01
7.131540159999999462e-02,8.008976140000000354e-01
7.335302940000000549e-02,7.610039699999999740e-01
7.544887640000000339e-02,7.185887710000000705e-01
7.760460610000000092e-02,6.835141249999998614e-01
7.982192949999999954e-02,6.454848020000001352e-01
8.210260630000000559e-02,6.133958229999999512e-01
8.444844679999999326e-02,5.725130619999998505e-01
8.686131269999999849e-02,5.342741699999999927e-01
8.934311920000000129e-02,5.032533839999999703e-01
9.189583599999999464e-02,4.744806599999999985e-01
9.452148920000000287e-02,4.497781329999999689e-01
9.722216270000000327e-02,4.155422370000000365e-01
1.000000000000000056e-01,3.895624130000000518e-01
1.019999999999999934e-01,3.717339519999999786e-01
1.039999999999999952e-01,3.622667400000000315e-01
1.059999999999999970e-01,3.436471710000000290e-01
1.079999999999999988e-01,3.284063700000000030e-01
1.100000000000000006e-01,3.135908350000000122e-01
1.120000000000000023e-01,3.017941499999999833e-01
1.140000000000000041e-01,2.844578900000000465e-01
1.160000000000000059e-01,2.772813920000000154e-01
1.179999999999999938e-01,2.600408889999999973e-01
1.199999999999999956e-01,2.492761310000000119e-01
1.219999999999999973e-01,2.369133550000000477e-01
1.239999999999999991e-01,2.328896039999999723e-01
1.260000000000000009e-01,2.189742559999999783e-01
1.280000000000000027e-01,2.140947310000000381e-01
1.300000000000000044e-01,2.015058490000000146e-01
1.320000000000000062e-01,1.923908449999999770e-01
1.340000000000000080e-01,1.883462759999999792e-01
1.360000000000000098e-01,1.813714559999999865e-01
1.380000000000000115e-01,1.713131979999999444e-01
1.400000000000000133e-01,1.646587689999999826e-01
1.419999999999999873e-01,1.595749669999999565e-01
1.439999999999999891e-01,1.571367949999999403e-01
1.459999999999999909e-01,1.430422049999999778e-01
1.479999999999999927e-01,1.418001389999999917e-01
1.499999999999999944e-01,1.377952090000000296e-01
1.519999999999999962e-01,1.315390220000000054e-01
1.539999999999999980e-01,1.305418760000000011e-01
1.559999999999999998e-01,1.245941349999999948e-01
1.580000000000000016e-01,1.177033480000000409e-01
1.600000000000000033e-01,1.137899929999999782e-01
1.620000000000000051e-01,1.116040229999999411e-01
1.640000000000000069e-01,1.075630940000000257e-01
1.660000000000000087e-01,1.054293519999999762e-01
1.680000000000000104e-01,1.009134169999999497e-01
1.700000000000000122e-01,9.885150599999997789e-02
1.719999999999999862e-01,9.355077399999994769e-02
1.739999999999999880e-01,9.178505300000000533e-02
1.759999999999999898e-01,9.168936199999999648e-02
1.779999999999999916e-01,8.173626999999999976e-02
1.799999999999999933e-01,8.283975599999998662e-02
1.819999999999999951e-01,7.672125299999998926e-02
1.839999999999999969e-01,7.659194099999999672e-02
1.859999999999999987e-01,7.451203600000000371e-02
1.880000000000000004e-01,7.311508399999999686e-02
1.900000000000000022e-01,7.136033899999999486e-02
1.920000000000000040e-01,6.789642800000000866e-02
1.940000000000000058e-01,6.251644600000000329e-02
1.960000000000000075e-01,6.213719499999997842e-02
1.980000000000000093e-01,6.168927899999998576e-02
2.000000000000000111e-01,5.701590300000003442e-02
2.020000000000000129e-01,5.805699799999997079e-02
2.039999999999999869e-01,6.029158499999998089e-02
2.059999999999999887e-01,5.555071000000000314e-02
2.079999999999999905e-01,5.649480699999998023e-02
2.099999999999999922e-01,5.389760599999998680e-02
2.119999999999999940e-01,5.381208399999998226e-02
2.139999999999999958e-01,4.954103999999998065e-02
