Q(A^-1),I(Q)
1.900000000000000022e-01,1.282121159999999871e-01
1.920000000000000040e-01,1.265561130000000256e-01
1.940000000000000058e-01,1.211121110000000223e-01
1.960000000000000075e-01,1.222996969999999850e-01
1.980000000000000093e-01,1.150979790000000169e-01
2.000000000000000111e-01,1.154244110000000045e-01
2.020000000000000129e-01,1.154364720000000122e-01
2.039999999999999869e-01,1.113926179999999988e-01
2.059999999999999887e-01,1.089512620000000487e-01
2.079999999999999905e-01,1.066618190000000466e-01
2.099999999999999922e-01,1.088389620000000391e-01
2.119999999999999940e-01,1.057761289999999410e-01
2.139999999999999958e-01,1.044785030000000003e-01
2.159999999999999976e-01,1.021874939999999898e-01
2.179999999999999993e-01,1.014030730000000657e-01
2.200000000000000011e-01,1.007233029999999863e-01
2.220000000000000029e-01,9.803785299999995262e-02
2.240000000000000047e-01,9.740329800000002702e-02
2.260000000000000064e-01,9.653802899999996967e-02
2.280000000000000082e-01,9.542273800000000694e-02
2.300000000000000100e-01,9.157240799999999403e-02
2.320000000000000118e-01,9.069544300000004222e-02
2.340000000000000135e-01,8.786451899999997428e-02
2.359999999999999876e-01,9.072691999999998869e-02
2.379999999999999893e-01,8.932978600000002212e-02
2.399999999999999911e-01,8.939250999999998060e-02
2.419999999999999929e-01,8.701742200000001093e-02
2.439999999999999947e-01,8.621501799999997662e-02
2.459999999999999964e-01,8.466046099999996466e-02
2.479999999999999982e-01,8.315015399999997614e-02
2.500000000000000000e-01,8.736957699999997606e-02
2.520000000000000018e-01,8.614356100000003513e-02
2.540000000000000036e-01,8.340436699999997927e-02
2.560000000000000053e-01,8.214323600000000836e-02
2.580000000000000071e-01,8.130383699999998992e-02
2.600000000000000089e-01,8.041827499999998352e-02
2.620000000000000107e-01,8.083535999999996724e-02
2.640000000000000124e-01,7.821794799999998160e-02
2.660000000000000142e-01,7.676518500000001355e-02
2.680000000000000160e-01,7.838971700000002540e-02
2.700000000000000178e-01,7.638028299999999327e-02
2.720000000000000195e-01,7.569013499999999173e-02
2.740000000000000213e-01,7.650328000000000683e-02
2.760000000000000231e-01,7.395293599999996914e-02
2.780000000000000249e-01,7.214499099999999165e-02
2.800000000000000266e-01,7.503001100000000756e-02
2.819999999999999729e-01,7.155617199999997347e-02
2.839999999999999747e-01,7.087543799999995731e-02
2.859999999999999765e-01,7.238286100000002055e-02
2.879999999999999782e-01,7.211247000000003959e-02
2.899999999999999800e-01,7.199749899999996483e-02
2.919999999999999818e-01,7.284800099999999556e-02
2.939999999999999836e-01,7.000069999999997128e-02
2.959999999999999853e-01,7.122805599999998405e-02
2.979999999999999871e-01,6.729203799999999847e-02
2.999999999999999889e-01,6.719188500000000674e-02
3.039999999999999925e-01,6.698807799999995094e-02
3.079999999999999960e-01,6.616180399999999073e-02
3.119999999999999996e-01,6.451154300000000452e-02
3.160000000000000031e-01,6.416571600000003928e-02
3.200000000000000067e-01,6.374403600000000392e-02
3.240000000000000102e-01,6.462958899999998730e-02
3.280000000000000138e-01,6.118560800000000244e-02
3.320000000000000173e-01,6.032843700000001252e-02
3.360000000000000209e-01,5.999213700000000093e-02
3.400000000000000244e-01,5.947966199999998871e-02
3.439999999999999725e-01,5.982666899999999899e-02
3.479999999999999760e-01,5.676734899999996697e-02
3.519999999999999796e-01,5.844980599999999304e-02
3.559999999999999831e-01,5.716206899999998203e-02
3.599999999999999867e-01,5.730252299999999410e-02
3.639999999999999902e-01,5.717900200000003430e-02
3.679999999999999938e-01,5.612425900000000967e-02
3.719999999999999973e-01,5.630843599999996174e-02
3.760000000000000009e-01,5.743885399999998365e-02
3.800000000000000044e-01,5.520648000000000222e-02
3.840000000000000080e-01,5.877918599999998328e-02
3.880000000000000115e-01,5.865131800000000784e-02
3.920000000000000151e-01,6.045524199999996462e-02
3.960000000000000187e-01,5.932743099999998604e-02
4.000000000000000222e-01,6.002205799999998925e-02
4.040000000000000258e-01,5.945541900000000934e-02
4.079999999999999738e-01,6.022881800000001729e-02
4.119999999999999774e-01,5.836124799999997670e-02
4.159999999999999809e-01,5.470616600000000052e-02
4.199999999999999845e-01,5.299050599999999278e-02
4.239999999999999880e-01,5.048924599999998764e-02
4.279999999999999916e-01,5.159004100000003090e-02
4.319999999999999951e-01,4.989266500000000271e-02
4.359999999999999987e-01,5.034956699999998397e-02
4.400000000000000022e-01,4.963695200000001195e-02
4.440000000000000058e-01,5.020448799999999157e-02
4.480000000000000093e-01,4.740141799999997296e-02
4.520000000000000129e-01,4.906146100000002841e-02
4.560000000000000164e-01,4.724423700000002224e-02
4.600000000000000200e-01,4.668660499999999214e-02
4.640000000000000235e-01,4.871925199999999068e-02
4.680000000000000271e-01,4.905497500000000066e-02
4.719999999999999751e-01,4.848011600000001753e-02
4.759999999999999787e-01,4.720253899999998781e-02
4.799999999999999822e-01,4.658044099999997245e-02
4.839999999999999858e-01,4.705249599999999921e-02
4.879999999999999893e-01,4.812312099999999093e-02
4.919999999999999929e-01,4.916985399999995732e-02
4.959999999999999964e-01,4.695657500000000040e-02
5.000000000000000000e-01,4.699694000000004257e-02
5.040000000000000036e-01,4.568852600000000708e-02
5.080000000000000071e-01,4.641913100000000236e-02
5.120000000000000107e-01,4.459439399999998166e-02
5.160000000000000142e-01,4.602213300000002061e-02
5.200000000000000178e-01,4.650430499999996803e-02
5.240000000000000213e-01,4.600392899999999896e-02
5.280000000000000249e-01,4.507856599999998659e-02
5.320000000000000284e-01,4.621605400000000641e-02
5.360000000000000320e-01,4.471020699999994630e-02
5.400000000000000355e-01,4.500054100000000501e-02
