Q(A^-1),I(Q)
8.149101250000000476e-03,1.745617160000001000e+00
8.381937849999999968e-03,1.535717979999999372e+00
8.621427060000000711e-03,1.691614010000000334e+00
8.867758979999999444e-03,1.583912100000000045e+00
9.121129110000000817e-03,1.651105209999999879e+00
9.381738540000000154e-03,1.786762159999999433e+00
9.649794119999999253e-03,1.607820170000000104e+00
9.925508600000000625e-03,1.710908360000000350e+00
1.020910080000000074e-02,1.645771430000000368e+00
1.050079580000000054e-02,1.812403220000000204e+00
1.080082519999999921e-02,1.652944340000000345e+00
1.110942699999999984e-02,1.662365910000000113e+00
1.142684620000000012e-02,1.664948610000000162e+00
1.175333469999999964e-02,1.731319800000000075e+00
1.208915170000000004e-02,1.591648779999999874e+00
1.243456360000000024e-02,1.724919250000000126e+00
1.278984470000000054e-02,1.669688410000000012e+00
1.315527690000000034e-02,1.749773779999999945e+00
1.353115019999999967e-02,1.678812790000000055e+00
1.391776299999999966e-02,1.670617009999999958e+00
1.431542220000000046e-02,1.692120169999999924e+00
1.472444319999999945e-02,1.631207999999999991e+00
1.514515089999999946e-02,1.645266029999999935e+00
1.557787899999999934e-02,1.614284410000000003e+00
1.602297109999999830e-02,1.630903450000000143e+00
1.648078039999999883e-02,1.679127509999999823e+00
1.695167020000000122e-02,1.689975680000000313e+00
1.743601430000000022e-02,1.605680670000000143e+00
1.793419710000000028e-02,1.689205091000000269e+00
1.844661400000000007e-02,1.615783568000000336e+00
1.897367180000000125e-02,1.705454661999999733e+00
1.951578860000000026e-02,1.645339006999999798e+00
2.007339489999999949e-02,1.606780592999999868e+00
2.064693310000000059e-02,1.596362195999999845e+00
2.123685850000000055e-02,1.585253377999999991e+00
2.184363920000000070e-02,1.600615829000000101e+00
2.246775700000000139e-02,1.608710961999999967e+00
2.310970700000000017e-02,1.587319353000000044e+00
2.376999889999999865e-02,1.585186148000000017e+00
2.444915669999999860e-02,1.561498091999999893e+00
2.514771940000000081e-02,1.541603771999999761e+00
2.586624150000000136e-02,1.547901749999999854e+00
2.660529329999999915e-02,1.525999336999999789e+00
2.736546130000000118e-02,1.535900542000000035e+00
2.814734890000000073e-02,1.519640128000000034e+00
2.895157649999999944e-02,1.528258320000000170e+00
2.977878269999999911e-02,1.487613234999999978e+00
3.062962379999999846e-02,1.473560753999999973e+00
3.150477520000000142e-02,1.443121909000000036e+00
3.240493149999999767e-02,1.429742625999999905e+00
3.333080709999999836e-02,1.420029986000000077e+00
3.428313680000000252e-02,1.415170548000000084e+00
3.526267660000000081e-02,1.395257239999999843e+00
3.627020389999999900e-02,1.381227438000000030e+00
3.730651819999999952e-02,1.345105022999999900e+00
3.837244229999999673e-02,1.327130676000000120e+00
3.946882189999999929e-02,1.314873176000000088e+00
4.059652739999999871e-02,1.291287328000000123e+00
4.175645370000000134e-02,1.282429338000000030e+00
4.294952159999999852e-02,1.237052406000000104e+00
4.417667780000000127e-02,1.227582541000000083e+00
4.543889639999999785e-02,1.201213627000000006e+00
4.673717919999999942e-02,1.189636917000000071e+00
4.807255660000000347e-02,1.167640176000000141e+00
4.944608849999999889e-02,1.123490435000000121e+00
5.085886509999999749e-02,1.117846935999999847e+00
5.231200750000000038e-02,1.080272554999999857e+00
5.380666919999999714e-02,1.068364711999999939e+00
5.534403649999999897e-02,1.017885705999999946e+00
5.692532959999999781e-02,1.007290797000000016e+00
5.855180339999999789e-02,9.820324840000000943e-01
6.022474900000000103e-02,9.690418089999999207e-01
6.194549399999999678e-02,9.260758149999999134e-01
6.371540430000000033e-02,8.937654830000001382e-01
6.553588450000000232e-02,8.779296050000000573e-01
6.740837959999999851e-02,8.464586669999998314e-01
6.933437580000000044e-02,8.352238229999999763e-01
7.131540159999999462e-02,7.954456780000001004e-01
7.335302940000000549e-02,7.672098960000000023e-01
7.544887640000000339e-02,7.448718759999999328e-01
7.760460610000000092e-02,7.006698019999999527e-01
7.982192949999999954e-02,6.835280690000000714e-01
8.210260630000000559e-02,6.607562759999999757e-01
8.444844679999999326e-02,6.168302600000000746e-01
8.686131269999999849e-02,5.967386120000000016e-01
8.934311920000000129e-02,5.811099259999999989e-01
9.189583599999999464e-02,5.609586660000001057e-01
9.452148920000000287e-02,5.298872820000000150e-01
9.722216270000000327e-02,5.093018129999999921e-01
1.000000000000000056e-01,4.873416540000000685e-01
1.019999999999999934e-01,4.725623220000000346e-01
1.039999999999999952e-01,4.603233939999999969e-01
1.059999999999999970e-01,4.358904560000000372e-01
1.079999999999999988e-01,4.227942949999999867e-01
1.100000000000000006e-01,4.041706389999999427e-01
1.120000000000000023e-01,3.937319809999999531e-01
1.140000000000000041e-01,3.848716949999999581e-01
1.160000000000000059e-01,3.687517039999999580e-01
1.179999999999999938e-01,3.557958139999999325e-01
1.199999999999999956e-01,3.451770730000000009e-01
1.219999999999999973e-01,3.321355560000000540e-01
1.239999999999999991e-01,3.233414710000000469e-01
1.260000000000000009e-01,3.066885929999999538e-01
1.280000000000000027e-01,2.961200339999999764e-01
1.300000000000000044e-01,2.889953729999999998e-01
1.320000000000000062e-01,2.753453519999999877e-01
1.340000000000000080e-01,2.727647910000000064e-01
1.360000000000000098e-01,2.602999049999999426e-01
1.380000000000000115e-01,2.585317349999999847e-01
1.400000000000000133e-01,2.455264070000000021e-01
1.419999999999999873e-01,2.404329209999999661e-01
1.439999999999999891e-01,2.293884589999999890e-01
1.459999999999999909e-01,2.225047249999999588e-01
1.479999999999999927e-01,2.156483520000000431e-01
1.499999999999999944e-01,2.121885769999999338e-01
1.519999999999999962e-01,2.048532299999999973e-01
1.539999999999999980e-01,1.956158639999999727e-01
1.559999999999999998e-01,1.895948929999999311e-01
1.580000000000000016e-01,1.915508549999999643e-01
1.600000000000000033e-01,1.789691429999999972e-01
1.620000000000000051e-01,1.766273189999999493e-01
1.640000000000000069e-01,1.747776939999999279e-01
1.660000000000000087e-01,1.663070460000000139e-01
1.680000000000000104e-01,1.646926339999999489e-01
1.700000000000000122e-01,1.566015929999999834e-01
1.719999999999999862e-01,1.526591469999999950e-01
1.739999999999999880e-01,1.509383369999999780e-01
1.759999999999999898e-01,1.499460159999999598e-01
1.779999999999999916e-01,1.416475469999999848e-01
1.799999999999999933e-01,1.430293000000000259e-01
1.819999999999999951e-01,1.375810250000000234e-01
1.839999999999999969e-01,1.326080079999999439e-01
1.859999999999999987e-01,1.340333289999999788e-01
1.880000000000000004e-01,1.288093880000000246e-01
1.900000000000000022e-01,1.260399849999999655e-01
1.920000000000000040e-01,1.271478120000000267e-01
1.940000000000000058e-01,1.187609599999999710e-01
1.960000000000000075e-01,1.205741740000000339e-01
1.980000000000000093e-01,1.142872810000000183e-01
2.000000000000000111e-01,1.168157699999999855e-01
2.020000000000000129e-01,1.135526969999999802e-01
2.039999999999999869e-01,1.098819330000000427e-01
2.059999999999999887e-01,1.084578430000000537e-01
2.079999999999999905e-01,1.051722689999999849e-01
2.099999999999999922e-01,1.075857130000000272e-01
2.119999999999999940e-01,1.021036839999999724e-01
2.139999999999999958e-01,1.024533580000000499e-01
2.159999999999999976e-01,9.912487799999997184e-02
2.179999999999999993e-01,1.007360529999999921e-01
2.200000000000000011e-01,1.023556079999999868e-01
2.220000000000000029e-01,9.634764300000003834e-02
2.240000000000000047e-01,9.660783500000003077e-02
2.260000000000000064e-01,9.724416400000002181e-02
2.280000000000000082e-01,9.334491300000002934e-02
2.300000000000000100e-01,8.983665599999995921e-02
2.320000000000000118e-01,9.013445400000003049e-02
2.340000000000000135e-01,9.031416500000000180e-02
2.359999999999999876e-01,9.176772199999999602e-02
2.379999999999999893e-01,8.961234800000000833e-02
2.399999999999999911e-01,8.890343400000000340e-02
2.419999999999999929e-01,8.788319799999999571e-02
2.439999999999999947e-01,8.721982600000000030e-02
2.459999999999999964e-01,8.541218400000000210e-02
2.479999999999999982e-01,8.226502699999999058e-02
2.500000000000000000e-01,8.521078699999995454e-02
2.520000000000000018e-01,8.239166300000000387e-02
2.540000000000000036e-01,8.302810899999996108e-02
2.560000000000000053e-01,8.181133299999998609e-02
2.580000000000000071e-01,8.219402900000000178e-02
2.600000000000000089e-01,8.172328499999997886e-02
2.620000000000000107e-01,7.868524299999996030e-02
2.640000000000000124e-01,8.134726999999997155e-02
2.660000000000000142e-01,7.812592400000001325e-02
2.680000000000000160e-01,7.691554600000000130e-02
2.700000000000000178e-01,7.442874599999999008e-02
2.720000000000000195e-01,7.293366299999998192e-02
2.740000000000000213e-01,7.919184700000003740e-02
2.760000000000000231e-01,7.308387999999998996e-02
2.780000000000000249e-01,7.036291399999999863e-02
2.800000000000000266e-01,7.251427300000001797e-02
2.819999999999999729e-01,7.026315999999999118e-02
2.839999999999999747e-01,6.820005599999995338e-02
2.859999999999999765e-01,7.038556400000001156e-02
2.879999999999999782e-01,7.251797800000003846e-02
2.899999999999999800e-01,7.199114499999997863e-02
2.919999999999999818e-01,7.330233399999996902e-02
2.939999999999999836e-01,7.063760699999999115e-02
2.959999999999999853e-01,6.879254499999998274e-02
2.979999999999999871e-01,6.716971799999998938e-02
2.999999999999999889e-01,6.641385299999996716e-02
3.039999999999999925e-01,6.699733099999999331e-02
3.079999999999999960e-01,6.567346299999998749e-02
3.119999999999999996e-01,6.406011300000002961e-02
3.160000000000000031e-01,6.493742400000002135e-02
3.200000000000000067e-01,6.348511399999995364e-02
3.240000000000000102e-01,6.479418500000000414e-02
3.280000000000000138e-01,6.302955700000001382e-02
3.320000000000000173e-01,6.099914700000003132e-02
3.360000000000000209e-01,5.876306000000003360e-02
3.400000000000000244e-01,6.106595300000000615e-02
3.439999999999999725e-01,5.819781400000001437e-02
3.479999999999999760e-01,5.461988600000000638e-02
3.519999999999999796e-01,5.824516899999998554e-02
3.559999999999999831e-01,5.697861199999998405e-02
3.599999999999999867e-01,5.763727400000001611e-02
3.639999999999999902e-01,5.685669500000001264e-02
3.679999999999999938e-01,5.592331799999999964e-02
3.719999999999999973e-01,5.649578099999996716e-02
3.760000000000000009e-01,5.835551899999996683e-02
3.800000000000000044e-01,5.505532699999998725e-02
3.840000000000000080e-01,5.839876699999996257e-02
3.880000000000000115e-01,5.821562499999999307e-02
3.920000000000000151e-01,6.148031599999997932e-02
3.960000000000000187e-01,6.040965900000000444e-02
4.000000000000000222e-01,6.089455199999999069e-02
4.040000000000000258e-01,5.867129100000001429e-02
4.079999999999999738e-01,6.027462500000002610e-02
4.119999999999999774e-01,5.767928799999999523e-02
4.159999999999999809e-01,5.488457600000001824e-02
4.199999999999999845e-01,5.475455799999995321e-02
4.239999999999999880e-01,5.154014900000003507e-02
4.279999999999999916e-01,5.049724799999999458e-02
4.319999999999999951e-01,4.884038499999998617e-02
4.359999999999999987e-01,4.728506599999998672e-02
