wait_time,q_index,q_val,tau_fast,f,tau_slow,d,f_err
0.0,0,0.0037637686035959274,0.0006954102832260366,0.39620268895733524,58.98678914298253,1.0199999999999998,0.04450475960519987
0.0,1,0.00489078770665826,0.0004705190872983438,0.47803428429350764,34.48247981923196,1.0199999999999998,0.06527172277680225
0.0,2,0.006017806809720593,0.00031372579526683925,0.46088020664348717,42.91961287756484,1.0082332391817674,0.0979607470148922
0.0,3,0.007144825912782926,0.00016122848788517513,0.5914966583935692,12.939239622980589,1.0171875899616487,0.05832065826564589
0.0,4,0.008271845015845259,0.000139024917975245,0.625329791206618,8.035802283757626,1.0153700148836629,0.04276521205870336
632.0,0,0.0037637686035959274,0.000585670775808339,0.29036681102701445,209.68917225652604,1.0178375868145895,0.034082436016930305
632.0,1,0.00489078770665826,0.0003038033151877123,0.36431926208011295,118.91692672780525,1.0199999999999998,0.07367715304173257
632.0,2,0.006017806809720593,0.00024898874205041933,0.4099870313508754,79.77288590815084,1.018150935602765,0.10933985822526895
632.0,3,0.007144825912782926,0.0001899178735357485,0.46791763270992764,45.99770708117602,1.0199999999999998,0.13509562572942793
632.0,4,0.008271845015845259,0.00024380113635479392,0.27516431599937324,215.012733586757,0.9800000000000082,0.13405947944332727
1258.0,0,0.0037637686035959274,0.0006018964535524125,0.20467740286296468,292.4593930619345,1.018616801625288,0.02293383518062224
1258.0,1,0.00489078770665826,0.0007643634320666306,0.18378289843847748,341.9138352495943,1.0026697753066216,0.026034879240638943
1258.0,2,0.006017806809720593,0.00021975764968452772,0.3146941441959048,130.5449429433365,1.019999999999574,0.08613717636106823
1258.0,3,0.007144825912782926,0.0004952158072558796,0.1607925900219027,349.4482437407877,0.9800000000000004,0.05221311621754215
1258.0,4,0.008271845015845259,0.0006849380568370468,0.1884032513533447,237.15124095936352,0.9800000000000001,0.05761844389542587
1900.0,0,0.0037637686035959274,0.001252476601609556,0.06968508836520489,1277.2725708510413,1.0140999212665025,0.012235363742949493
1900.0,1,0.00489078770665826,0.0008675638446026042,0.08318199686474358,820.8504994273037,1.0077767821249763,0.021165206290691678
1900.0,2,0.006017806809720593,0.00015754476185822198,0.1687410679266397,363.6872871004445,1.0199999999875928,0.08398155900905868
1900.0,3,0.007144825912782926,0.0070449999505907855,0.039321098176685304,698.5627587764669,0.981184047441336,0.012334381357828677
1900.0,4,0.008271845015845259,0.00018194174006370205,0.14126677993761086,338.1328637854616,1.0007138110078926,0.11846281734976355
